Make,Models
Acura,"['RLX Sport Hybrid' 'RDX' 'TL' 'Integra' 'CL' 'TLX' 'RL' 'TSX' 'MDX'
 'MDX Sport Hybrid' 'ZDX' 'RSX' 'ILX' 'Legend' 'RLX' 'NSX' 'SLX' 'Vigor']"
Alfa Romeo,['164' '4C' '4C Spider' 'Stelvio' 'Giulia' 'Spider']
Aston Martin,"['Vantage' 'Vanquish' 'DBS' 'DB9' 'Vanquish S' 'Rapide' 'Rapide S'
 'Virage' 'DB11' 'DB9 GT']"
Audi,"['A6 allroad' 'TT' 'S5' 'S8' 'Cabriolet' 'A8' 'allroad' 'A6' '90' 'A3'
 'SQ5' 'S4' 'A4' 'R8' 'A7' 'RS 7' 'S6' 'A3 Sportback e-tron' 'S3' 'A5'
 'RS 5' 'Q3' 'S7' 'Q7' 'Q5' 'RS 3' 'Quattro' 'Q8' 'RS 4' '100' 'e-tron'
 'A4 allroad' 'A5 Sport' 'S4 (2005.5)' 'A4 (2005.5)' '80' 'RS 6']"
BMW,"['3 Series' 'X5' 'X5 M' 'Z4' 'X3' '6 Series' '5 Series' '7 Series'
 '1 Series' '8 Series' 'i3' 'M3' '4 Series' 'M5' 'M2' 'X4' 'X6 M' 'X1'
 'M6' 'X6' 'Alpina B7' '2 Series' 'i8' 'Z3' 'Z8' 'X7' 'Z4 M' 'M4' 'X2' 'M']"
Bentley,"['Continental' 'Mulsanne' 'Arnage' 'Flying Spur' 'Bentayga' 'Azure'
 'Brooklands' 'Azure T']"
Buick,"['Lucerne' 'Enclave' 'Century' 'Park Avenue' 'LeSabre' 'LaCrosse'
 'Rendezvous' 'Regal' 'Encore' 'Envision' 'Riviera' 'Skylark'
 'Regal TourX' 'Roadmaster' 'Cascada' 'Rainier' 'Verano' 'Regal Sportback'
 'Encore GX' 'Terraza']"
Cadillac,"['Catera' 'Seville' 'CTS' 'ELR' 'Escalade ESV' 'XT6' 'XT5' 'ATS' 'DeVille'
 'CT6-V' 'SRX' 'DTS' 'Escalade' 'XT4' 'Escalade EXT' 'CTS-V' 'Allante'
 'ATS-V' 'XTS' 'STS' 'CT5' 'Eldorado' 'XLR' 'CT6' 'Fleetwood' 'Brougham'
 'Sixty Special' 'CT4']"
Chevrolet,"['Express 2500 Cargo' 'Metro' 'Express 2500 Passenger' 'Camaro' 'Blazer'
 'Impala' 'Suburban 2500' 'Uplander Cargo' 'Traverse'
 'Silverado 3500 HD Regular Cab' 'City Express' 'Astro Cargo'
 'Venture Passenger' 'Lumina' 'Express 1500 Passenger' 'Monte Carlo'
 'S10 Regular Cab' 'Silverado 2500 HD Crew Cab' '2500 HD Extended Cab'
 'TrailBlazer' 'Beretta' 'Impala Limited' 'Avalanche' 'Suburban'
 'Astro Passenger' 'Tahoe' 'Equinox' 'Volt' 'Spark' 'Colorado Crew Cab'
 'Malibu' 'Avalanche 2500' 'Corvette' 'Silverado 1500 Crew Cab'
 'Lumina Passenger' 'Silverado 1500 Regular Cab'
 'Silverado 3500 HD Extended Cab' 'Silverado 1500 Double Cab'
 'Silverado (Classic) 1500 Extended Cab' 'Prizm' 'APV Cargo'
 '3500 Crew Cab' 'Express 3500 Cargo' 'Lumina Cargo' 'S10 Crew Cab' 'Trax'
 'Colorado Regular Cab' 'Bolt EV' '3500 Extended Cab' 'Uplander Passenger'
 'Silverado 2500 Regular Cab' 'Express 3500 Passenger'
 'Express 1500 Cargo' 'Avalanche 1500' 'Silverado 1500 Extended Cab'
 'Silverado 3500 HD Crew Cab' 'Cavalier' 'G-Series G30'
 'Silverado 2500 HD Extended Cab' 'Silverado 3500 Regular Cab'
 'Lumina APV' 'Sportvan G30' 'Suburban 3500HD'
 'Silverado (Classic) 1500 Crew Cab' 'Silverado 2500 HD Double Cab'
 'S10 Extended Cab' 'Suburban 1500' '2500 Extended Cab'
 'Colorado Extended Cab' 'Cruze' '3500 Regular Cab' 'HHR'
 'Silverado 3500 Crew Cab' 'SS' '2500 Regular Cab' 'Sonic' 'G-Series G10'
 'SSR' 'Silverado 2500 Crew Cab' 'Caprice Classic' 'Captiva Sport'
 '1500 Regular Cab' 'Silverado 3500 HD Double Cab' 'Cobalt'
 'Silverado (Classic) 2500 HD Extended Cab' 'Caprice' '2500 Crew Cab'
 '1500 Extended Cab' '3500 HD Regular Cab' 'G-Series 2500'
 'Silverado 3500 Extended Cab' 'Silverado (Classic) 1500 HD Crew Cab'
 'Sportvan G10' 'Tracker' 'Sportvan G20' 'Silverado 2500 Extended Cab'
 'Venture Cargo' '3500 HD Extended Cab' 'Silverado 2500 HD Regular Cab'
 'Aveo' 'Corsica' 'Silverado 1500 HD Crew Cab'
 'Silverado (Classic) 2500 HD Crew Cab' 'Silverado 1500 LD Double Cab'
 'G-Series G20' 'S10 Blazer' 'G-Series 3500' 'Spark EV'
 'Silverado (Classic) 3500 Crew Cab' '2500 HD Regular Cab'
 'Silverado (Classic) 3500 Regular Cab' 'Cruze Limited' 'Trailblazer'
 'Classic' 'Silverado (Classic) 2500 HD Regular Cab' 'Malibu Limited'
 'Silverado (Classic) 1500 Regular Cab'
 'Silverado (Classic) 3500 Extended Cab' 'Tahoe (New)' 'Malibu (Classic)'
 'G-Series 1500']"
Chrysler,"['New Yorker' 'Concorde' '300' 'LHS' 'Crossfire' 'Sebring' 'Pacifica'
 'Town & Country' 'Cirrus' '300M' 'Voyager' 'PT Cruiser' '200' 'Fifth Ave'
 'Prowler' 'Pacifica Hybrid' 'Aspen' 'LeBaron' 'Imperial' 'Grand Voyager']"
